Order,Category,Difficulty,Problem,LeetCode_URL
1,Arrays & Hashing,Easy,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/
2,Arrays & Hashing,Easy,Valid Anagram,https://leetcode.com/problems/valid-anagram/
3,Arrays & Hashing,Easy,Two Sum,https://leetcode.com/problems/two-sum/
4,Arrays & Hashing,Medium,Group Anagrams,https://leetcode.com/problems/group-anagrams/
5,Arrays & Hashing,Medium,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/
6,Arrays & Hashing,Medium,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/
7,Arrays & Hashing,Medium,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/
8,Arrays & Hashing,Medium,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/
9,Two Pointers,Easy,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/
10,Two Pointers,Medium,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
11,Two Pointers,Medium,3Sum,https://leetcode.com/problems/3sum/
12,Two Pointers,Medium,Container With Most Water,https://leetcode.com/problems/container-with-most-water/
13,Sliding Window,Easy,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
14,Sliding Window,Medium,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/
15,Sliding Window,Medium,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/
16,Stack,Easy,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/
17,Stack,Medium,Min Stack,https://leetcode.com/problems/min-stack/
18,Stack,Medium,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/
19,Binary Search,Easy,Binary Search,https://leetcode.com/problems/binary-search/
20,Binary Search,Medium,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
21,Binary Search,Medium,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/
22,Linked List,Easy,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/
23,Linked List,Easy,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/
24,Linked List,Medium,Reorder List,https://leetcode.com/problems/reorder-list/
25,Linked List,Medium,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
26,Linked List,Easy,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/
27,Linked List,Medium,LRU Cache,https://leetcode.com/problems/lru-cache/
28,Trees,Easy,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/
29,Trees,Easy,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/
30,Trees,Easy,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/
31,Trees,Easy,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/
32,Trees,Easy,Same Tree,https://leetcode.com/problems/same-tree/
33,Trees,Easy,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/
34,Trees,Medium,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
35,Trees,Medium,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/
36,Trees,Medium,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/
37,Trees,Medium,Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/
38,Trees,Medium,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/
39,Trees,Medium,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
40,Heap / Priority Queue,Easy,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/
41,Heap / Priority Queue,Easy,Last Stone Weight,https://leetcode.com/problems/last-stone-weight/
42,Heap / Priority Queue,Medium,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/
43,Graphs,Medium,Number of Islands,https://leetcode.com/problems/number-of-islands/
44,Graphs,Medium,Max Area of Island,https://leetcode.com/problems/max-area-of-island/
45,Graphs,Medium,Clone Graph,https://leetcode.com/problems/clone-graph/
46,Graphs,Medium,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/
47,Graphs,Medium,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/
48,Graphs,Medium,Course Schedule,https://leetcode.com/problems/course-schedule/
49,Graphs,Medium,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/
